m	128450
wikipedia	149481
s	432
d	2433
zero	1055
wd	443
q	190
n	42
b	534
f	446
voy	88
w	134
v	68
wikipedia	145337
m	132724
wd	500
d	2077
s	353
q	189
b	452
voy	101
zero	1089
w	80
f	18
n	36
v	96
wikipedia	146370
m	131524
b	561
zero	929
s	377
d	2036
wd	429
voy	167
q	190
v	75
w	307
n	38
f	25
wikipedia	151994
m	130599
d	2530
zero	896
s	395
wd	441
q	192
b	513
voy	77
w	178
v	75
n	18
f	69
wikipedia	149920
m	133266
d	2335
zero	949
q	236
s	385
voy	119
wd	434
b	551
w	81
n	18
v	65
f	14
m	133715
wikipedia	166527
d	2046
q	210
b	480
zero	967
s	336
wd	419
voy	80
w	101
n	18
v	86
f	24
wikipedia	163876
m	139950
zero	930
voy	90
wd	440
d	2419
s	403
b	494
v	103
q	175
w	206
n	17
f	36
m	140769
wikipedia	151971
zero	1012
d	2127
s	341
b	564
w	97
v	84
wd	435
voy	110
q	209
n	23
f	18
m	146955
wikipedia	169861
d	1985
zero	973
q	297
wd	1141
b	501
v	75
voy	358
s	356
w	264
n	25
f	1203
wikipedia	146430
m	140422
zero	1035
d	3180
wd	426
b	605
v	59
s	369
q	170
w	128
voy	92
n	19
f	62
wikipedia	154156
m	147560
d	2084
s	407
zero	904
wd	453
q	181
w	80
b	488
n	34
voy	73
v	76
f	80
wikipedia	152066
m	138597
d	2217
voy	98
b	482
zero	900
q	286
wd	55413
s	433
f	58
n	28
w	71
v	89
wikipedia	146385
m	146067
v	80
s	406
d	2128
zero	1099
wd	537
w	1004
voy	88
q	281
b	531
n	28
f	25
wikipedia	141585
m	137562
wd	449
s	422
zero	914
w	221
q	237
b	469
d	2014
voy	129
v	65
n	35
f	31
m	145256
wikipedia	143251
d	2134
zero	1020
b	461
wd	448
s	352
q	185
voy	95
w	91
v	83
n	85
f	13
wikipedia	148216
m	130120
zero	933
d	2038
wd	464
w	245
b	505
s	342
voy	112
q	217
f	52
v	70
n	36
wikipedia	155262
m	128631
d	2113
zero	937
wd	438
q	168
v	77
s	362
b	435
n	50
voy	107
w	137
f	110
wikipedia	152750
m	136303
s	452
b	539
d	2047
zero	1046
wd	451
q	163
n	33
voy	137
v	68
w	148
f	9
m	131934
wikipedia	209666
zero	1015
v	72
d	2113
s	363
wd	543
q	249
f	67
b	474
voy	97
w	99
n	40
wikipedia	155084
m	134911
d	2094
wd	455
voy	104
q	175
zero	1051
s	348
b	477
v	84
w	130
n	31
f	17
m	136275
wikipedia	145831
wd	425
zero	5870
d	2144
b	637
voy	273
s	406
v	76
q	162
w	74
n	23
f	17
m	162489
wikipedia	147332
d	2468
s	369
b	530
zero	2158
voy	140
wd	424
q	178
v	65
n	51
w	126
f	13
wikipedia	143285
m	136887
s	355
wd	423
d	2112
zero	1077
q	208
w	73
v	104
n	79
b	575
voy	99
f	25
m	137383
d	2141
wikipedia	166574
zero	1163
v	79
wd	431
s	432
voy	224
b	543
n	20
q	184
w	77
f	21
m	135976
wikipedia	187122
d	2204
wd	436
q	205
s	351
b	457
n	44
zero	2483
voy	72
